location,year,population
"Denver, Colorado",2021,711323
"Washington, District of Columbia",2021,668791
"Miami, Florida",2021,441999
"St. Petersburg, Florida",2021,259083
"Atlanta, Georgia",2021,492667
"Chicago, Illinois",2021,2698029
"Baltimore, Maryland",2021,576981
"Boston, Massachusetts",2021,654537
"Detroit, Michigan",2021,628167
"Minneapolis, Minnesota",2021,424635
"Kansas, Missouri",2021,508949
"St. Louis, Missouri",2021,293562
"New York, New York",2021,8459001
"Cincinnati, Ohio",2021,308685
"Cleveland, Ohio",2021,365389
"Philadelphia, Pennsylvania",2021,1589480
"Pittsburgh, Pennsylvania",2021,305441
"Arlington, Texas",2021,393278
"Houston, Texas",2021,2291655
"Seattle, Washington",2021,731507
"Milwaukee, Wisconsin",2021,565840
"Phoenix, Arizona",2022,1644409
"Anaheim, California",2022,344461
"Los Angeles, California",2022,3822238
"Oakland, California",2022,430553
"San Diego, California",2022,1381162
"San Francisco, California",2022,808437
"Denver, Colorado",2022,713252
"Washington, District of Columbia",2022,671803
"Miami, Florida",2022,449514
"St. Petersburg, Florida",2022,261256
"Atlanta, Georgia",2022,499127
"Chicago, Illinois",2022,2665039
"Baltimore, Maryland",2022,569931
"Boston, Massachusetts",2022,650706
"Detroit, Michigan",2022,620376
"Minneapolis, Minnesota",2022,425096
"Kansas, Missouri",2022,509297
"St. Louis, Missouri",2022,286578
"New York, New York",2022,8335897
"Cincinnati, Ohio",2022,309513
"Cleveland, Ohio",2022,361607
"Philadelphia, Pennsylvania",2022,1567258
"Pittsburgh, Pennsylvania",2022,302898
"Arlington, Texas",2022,394602
"Houston, Texas",2022,2302878
"Seattle, Washington",2022,749256
"Milwaukee, Wisconsin",2022,563305
"Toronto, Canada",2003,4861366
"Toronto, Canada",2004,4947655
"Toronto, Canada",2005,5035232
"Toronto, Canada",2006,5124530
"Toronto, Canada",2007,5215742
"Toronto, Canada",2008,5308706
"Toronto, Canada",2009,5403064
"Toronto, Canada",2010,5499233
"Toronto, Canada",2011,5592607
"Toronto, Canada",2012,5660142
"Toronto, Canada",2013,5728303
"Toronto, Canada",2014,5797381
"Toronto, Canada",2015,5867292
"Toronto, Canada",2016,5938144
"Toronto, Canada",2017,6009852
"Toronto, Canada",2018,6082425
"Toronto, Canada",2019,6139404
"Toronto, Canada",2020,6196731
"Toronto, Canada",2021,6254571
"Toronto, Canada",2022,6312974
"Montreal, Canada",2003,3564175
"Montreal, Canada",2004,3618746
"Montreal, Canada",2005,3674000
"Montreal, Canada",2006,3728243
"Montreal, Canada",2007,3769718
"Montreal, Canada",2008,3811712
"Montreal, Canada",2009,3854057
"Montreal, Canada",2010,3896932
"Montreal, Canada",2011,3938680
"Montreal, Canada",2012,3971182
"Montreal, Canada",2013,4003862
"Montreal, Canada",2014,4036856
"Montreal, Canada",2015,4070122
"Montreal, Canada",2016,4103709
"Montreal, Canada",2017,4137573
"Montreal, Canada",2018,4171716
"Montreal, Canada",2019,4195523
"Montreal, Canada",2020,4220566
"Montreal, Canada",2021,4247446
"Montreal, Canada",2022,4276526
